Date : 2026-03-10 11:56:41
Directory : c:\Users\dariu\Desktop\programming\flavorSynthesizer
Total : 180 files,  20807 codes, 1173 comments, 2848 blanks, all 24828 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\openShareDialog\OpenShareDialog.tsx                                      | TypeScript JSX     |        350 |          2 |         59 |        411 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelButton.scss                                                | SCSS               |         28 |          6 |          6 |         40 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelButton.tsx                                                 | TypeScript JSX     |         37 |         16 |         10 |         63 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelDiv.scss                                                   | SCSS               |          5 |          0 |          1 |          6 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelDiv.tsx                                                    | TypeScript JSX     |         37 |         16 |         10 |         63 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelImage.tsx                                                  | TypeScript JSX     |         35 |          0 |          8 |         43 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelLI.tsx                                                     | TypeScript JSX     |         38 |         16 |         10 |         64 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\progressCanvas\ProgressCanvas.tsx                                        | TypeScript JSX     |         58 |          0 |         22 |         80 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\restaurant\Restaurant.scss                                               | SCSS               |        235 |          0 |         37 |        272 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\restaurant\Restaurant.tsx                                                | TypeScript JSX     |        181 |          8 |         45 |        234 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\restaurant\RestaurantLoader.ts                                           | TypeScript         |         52 |         19 |         16 |         87 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\scroollingBackgroundImage\ScrollingBackgroundImage.scss                  | SCSS               |         34 |          5 |          4 |         43 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\scroollingBackgroundImage\ScrollingBackgroundImage.tsx                   | TypeScript JSX     |         47 |          0 |          3 |         50 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\shareDialog\ShareDialog.scss                                             | SCSS               |        452 |        105 |        102 |        659 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\shareDialog\ShareDialog.tsx                                              | TypeScript JSX     |        478 |         40 |         95 |        613 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\toggle\Toggle.scss                                                       | SCSS               |         74 |          0 |         13 |         87 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\toggle\Toggle.tsx                                                        | TypeScript JSX     |         18 |          0 |          6 |         24 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\Tutorials.tsx                                                  | TypeScript JSX     |         62 |          0 |         17 |         79 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\action\Action.scss                                  | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\action\Action.tsx                                   | TypeScript JSX     |         43 |          0 |          6 |         49 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\custom\Custom.scss                                  | SCSS               |         67 |          0 |         10 |         77 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\custom\Custom.tsx                                   | TypeScript JSX     |         41 |          0 |          4 |         45 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\image\Image.scss                                    | SCSS               |        108 |          0 |         16 |        124 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\image\Image.tsx                                     | TypeScript JSX     |         40 |          0 |          4 |         44 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\text\Text.scss                                      | SCSS               |         77 |          0 |         12 |         89 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\text\Text.tsx                                       | TypeScript JSX     |         37 |          0 |          3 |         40 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\context\TutorialContext.ts                                     | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\context\TutorialProgressContext.ts                             | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\dishList\DishListTutorial.scss                                 | SCSS               |         32 |          0 |          6 |         38 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\dishList\DishListTutorial.tsx                                  | TypeScript JSX     |        132 |          0 |          4 |        136 |
